match, AP, AWins, BOB, COL, CPA, CPR, ChessA, ChessAB, ChessB, DCI, DOL, DUN, MOR, PGH, RPIA, RPIAB, RPIB, RTH, SAG, WLK
H_502_516, 0.5, 1, 0.485447782568, 0.487997040578, 0.5, 0.5, 86.176579, 0.490508433989, 84.527527, 0.5, 0.493872185066, 0.479856610714, 0.493031448038, 0.5, 0.499190352, 0.499758952615, 0.457316129, 0.489607962891, 0.491468327711, 0.492977261375
H_502_522, 0.5, 1, 0.497822143834, 0.502149046248, 0.5, 0.5, 86.176579, 0.491125807704, 84.634812, 0.5, 0.503967852529, 0.463551206737, 0.484655053365, 0.5, 0.499190352, 0.500106946205, 0.517768811, 0.492718330353, 0.498627749426, 0.505180082985
H_502_536, 0.5, 0, 0.545660326011, 0.551476757438, 0.5, 0.5, 86.176579, 0.545467187161, 94.096918, 0.5, 0.546851555203, 0.513214927251, 0.533559981863, 0.5, 0.499190352, 0.500730630033, 0.626113879, 0.538844549323, 0.545114004556, 0.552683364154
H_502_557, 0.5, 1, 0.520167830043, 0.525363423725, 0.5, 0.5, 86.176579, 0.516849398136, 89.104728, 0.5, 0.524434499783, 0.520998748228, 0.516531802073, 0.5, 0.499190352, 0.500268535714, 0.545839788, 0.51984810544, 0.518232048152, 0.521614453292
H_502_600, 0.5, 1, 0.484706352314, 0.490474886303, 0.5, 0.5, 86.176579, 0.477432216797, 82.253488, 0.5, 0.499220124424, 0.471617797908, 0.480145192686, 0.5, 0.499190352, 0.499801141952, 0.464645169, 0.484811376775, 0.484156025866, 0.491964843797
H_502_651, 0.604985925034, 0, 0.563329197219, 0.567050985784, 0.5, 0.5, 86.176579, 0.564070274636, 97.368252, 0.5, 0.56378697981, 0.525317748294, 0.549213109993, 0.5, 0.499190352, 0.500732292974, 0.626402762, 0.560586611146, 0.564272829783, 0.575749133617
H_502_692, 0.5, 1, 0.465658998254, 0.469655271986, 0.5, 0.5, 86.176579, 0.455958878748, 78.505974, 0.5, 0.471865491945, 0.449673791939, 0.460174871423, 0.5, 0.499190352, 0.499507160338, 0.413575306, 0.463157582799, 0.465562613586, 0.468036094753
H_502_701, 0.5, 1, 0.49462556813, 0.495288935692, 0.5, 0.5, 86.176579, 0.491927958935, 84.7742, 0.5, 0.489423245391, 0.485006865001, 0.497158712303, 0.5, 0.499190352, 0.499900572356, 0.481918001, 0.493243548554, 0.489927010496, 0.489212942015
H_502_718, 0.5, 0, 0.492019038045, 0.498148623493, 0.5, 0.5, 86.176579, 0.489054695163, 84.274881, 0.5, 0.498186833796, 0.46692815314, 0.486187738167, 0.5, 0.499190352, 0.499834304146, 0.470406033, 0.489351768212, 0.489671672736, 0.495279941726
H_502_754, 0.5, 0, 0.515768098599, 0.521880583003, 0.5, 0.5, 86.176579, 0.514973049197, 88.778442, 0.5, 0.515862867348, 0.496150553089, 0.51103903747, 0.5, 0.499190352, 0.500169892366, 0.52870368, 0.515377135277, 0.512327148981, 0.514526774639
H_502_759, 0.5, 1, 0.458087230315, 0.462069282191, 0.5, 0.5, 86.176579, 0.41200893625, 70.73017, 0.5, 0.464951868915, 0.442584036126, 0.453066012134, 0.5, 0.499190352, 0.499132023467, 0.348407233, 0.456934843011, 0.457760156304, 0.461804193267
H_502_784, 0.5, 1, 0.46363480492, 0.467627349801, 0.5, 0.5, 86.176579, 0.446768628088, 76.894166, 0.5, 0.470514282013, 0.444559580977, 0.45704261649, 0.5, 0.499190352, 0.49947525528, 0.408032824, 0.462484248539, 0.462415597446, 0.466689227758
H_502_792, 0.5, 0, 0.505349579273, 0.511178755998, 0.5, 0.5, 86.176579, 0.499556637357, 86.099559, 0.5, 0.511455679678, 0.492183320218, 0.500868285007, 0.5, 0.499190352, 0.500177101178, 0.529955979, 0.504547150662, 0.509540680964, 0.516394163492
H_502_803, 0.5, 1, 0.462070672924, 0.466060302375, 0.5, 0.5, 86.176579, 0.448542715479, 77.205772, 0.5, 0.469169581626, 0.445221188844, 0.459500616261, 0.5, 0.499190352, 0.499342833699, 0.385028807, 0.460474050664, 0.46152302827, 0.468261214343
H_502_805, 0.5, 0, 0.52491021745, 0.528306238415, 0.5, 0.5, 86.176579, 0.521255923613, 89.871338, 0.5, 0.531572990199, 0.509211062775, 0.521407330702, 0.5, 0.499190352, 0.500197722223, 0.533538222, 0.523531237963, 0.525128275824, 0.528801764856
H_502_817, 0.5, 0, 0.534601628804, 0.540808345154, 0.5, 0.5, 86.176579, 0.531866032104, 91.719789, 0.5, 0.531193999988, 0.50166772933, 0.52024186737, 0.5, 0.499190352, 0.500406648002, 0.569832361, 0.53092739792, 0.527911522747, 0.535363409288
H_502_821, 0.596558239194, 0, 0.547727869374, 0.556170298607, 0.5, 0.5, 86.176579, 0.541125016404, 93.336902, 0.5, 0.551625651559, 0.519508052523, 0.524239820294, 0.5, 0.499190352, 0.500721766101, 0.624574053, 0.541747536383, 0.539120739597, 0.54849272022
H_502_824, 0.5, 1, 0.465433334802, 0.469203308953, 0.5, 0.5, 86.176579, 0.455334351435, 78.396622, 0.5, 0.469393255886, 0.461885071558, 0.470280149952, 0.5, 0.499190352, 0.499353683168, 0.386913556, 0.466322547179, 0.463311033847, 0.466018222116
H_502_852, 0.5, 0, 0.527649115066, 0.533898238683, 0.5, 0.5, 86.176579, 0.51767052178, 89.247542, 0.5, 0.532726800821, 0.497094414329, 0.505031315885, 0.5, 0.499190352, 0.500321264929, 0.554999794, 0.523913667887, 0.520678103109, 0.528419727148
H_503_520, 0.5, 1, 0.504219902838, 0.504562847542, 0.5, 0.5, 85.032644, 0.507427765728, 86.323074, 0.5, 0.501314598375, 0.479987361253, 0.498313677276, 0.5, 0.482713152, 0.500193482244, 0.516324462, 0.50796681507, 0.505649496514, 0.506756451446
H_503_529, 0.5, 0, 0.498707221761, 0.498427018872, 0.5, 0.5, 85.032644, 0.497602641607, 84.616177, 0.5, 0.503177236127, 0.497614807765, 0.495287255052, 0.5, 0.482713152, 0.500108412555, 0.501546342, 0.501067662523, 0.502927246964, 0.500527373313
H_503_534, 0.5, 0, 0.473062464464, 0.470749495821, 0.5, 0.5, 85.032644, 0.472576238819, 80.263863, 0.5, 0.472022885158, 0.485506077569, 0.474825803781, 0.5, 0.482713152, 0.499407022798, 0.379702413, 0.478197401445, 0.477189200372, 0.473282400552
H_503_537, 0.5, 1, 0.542239122255, 0.546997342121, 0.5, 0.5, 85.032644, 0.534431053457, 91.023412, 0.5, 0.54984237478, 0.550242724663, 0.528084951409, 0.5, 0.482713152, 0.500580496713, 0.583555805, 0.536785852218, 0.540903032493, 0.54968937593
H_503_552, 0.5, 0, 0.479944415122, 0.47739008818, 0.5, 0.5, 85.032644, 0.47743853601, 81.110653, 0.5, 0.479602350398, 0.478336727916, 0.478915121254, 0.5, 0.482713152, 0.499739887462, 0.437526972, 0.48316701913, 0.484967652562, 0.478816483778
H_503_581, 0.5, 1, 0.495901858873, 0.496099980644, 0.5, 0.5, 85.032644, 0.49544940009, 84.242102, 0.5, 0.499217233462, 0.496047834345, 0.487644142738, 0.5, 0.482713152, 0.499900718536, 0.465466195, 0.496847702875, 0.497134937574, 0.496877307441
H_503_610, 0.5, 1, 0.49364299665, 0.49533241108, 0.5, 0.5, 85.032644, 0.482132361407, 81.927395, 0.5, 0.488413614163, 0.481889705442, 0.475541256114, 0.5, 0.482713152, 0.499975517142, 0.478460044, 0.483406650286, 0.483770706099, 0.489338817951
