Id,Result
N_503_506,-1
N_503_509,-1
N_503_511,-1
N_503_512,-1
N_503_524,-1
N_503_527,-1
N_503_535,-1
N_503_536,-1
N_503_539,-1
N_503_547,-1
N_503_551,-1
N_503_552,-1
N_503_559,-1
N_503_561,-1
N_503_565,-1
N_503_569,-1
N_503_577,-1
N_503_586,-1
N_503_595,-1
N_503_607,0
N_503_623,-1
N_503_636,-1
N_503_651,-1
N_503_655,-1
N_503_660,-1
N_503_662,-1
N_503_666,-1
N_503_670,-1
N_503_671,-1
N_503_673,-1
N_503_675,-1
N_503_676,-1
N_503_682,-1
N_503_683,-1
N_503_689,-1
N_503_708,-1
N_503_714,-1
N_503_720,-1
N_503_721,-1
N_503_722,-1
N_503_731,-1
N_503_733,-1
N_503_738,-1
N_503_740,-1
N_503_745,-1
N_503_765,-1
N_503_766,-1
N_503_786,-1
N_503_789,-1
N_503_790,-1
N_503_793,-1
N_503_794,-1
N_503_810,-1
N_503_818,-1
N_503_821,-1
N_503_822,-1
N_503_825,-1
N_503_829,-1
N_503_835,-1
N_503_839,-1
N_503_840,-1
N_503_843,-1
N_503_849,-1
N_503_853,-1
N_506_509,-1
N_506_511,-1
N_506_512,-1
N_506_524,-1
N_506_527,-1
N_506_535,-1
N_506_536,-1
N_506_539,-1
N_506_547,-1
N_506_551,-1
N_506_552,-1
N_506_559,-1
N_506_561,-1
N_506_565,-1
N_506_569,-1
N_506_577,-1
N_506_586,-1
N_506_595,-1
N_506_607,-1
N_506_623,-1
N_506_636,-1
N_506_651,-1
N_506_655,-1
N_506_660,-1
N_506_662,-1
N_506_666,-1
N_506_670,-1
N_506_671,-1
N_506_673,-1
N_506_675,-1
N_506_676,-1
N_506_682,-1
N_506_683,-1
N_506_689,-1
N_506_708,-1
N_506_714,-1
N_506_720,-1
N_506_721,-1
N_506_722,-1
N_506_731,-1
N_506_733,-1
N_506_738,-1
N_506_740,-1
N_506_745,-1
N_506_765,-1
N_506_766,-1
N_506_786,-1
N_506_789,-1
N_506_790,-1
N_506_793,-1
N_506_794,-1
N_506_810,-1
N_506_818,-1
N_506_821,-1
N_506_822,-1
N_506_825,-1
N_506_829,-1
N_506_835,-1
N_506_839,-1
N_506_840,-1
N_506_843,-1
N_506_849,-1
N_506_853,-1
N_509_511,-1
N_509_512,-1
N_509_524,-1
N_509_527,-1
N_509_535,-1
N_509_536,-1
N_509_539,-1
N_509_547,-1
N_509_551,-1
N_509_552,-1
N_509_559,-1
N_509_561,-1
N_509_565,-1
N_509_569,-1
N_509_577,-1
N_509_586,-1
N_509_595,-1
N_509_607,-1
N_509_623,-1
N_509_636,-1
N_509_651,-1
N_509_655,-1
N_509_660,-1
N_509_662,-1
N_509_666,-1
N_509_670,-1
N_509_671,-1
N_509_673,-1
N_509_675,-1
N_509_676,-1
N_509_682,-1
N_509_683,-1
N_509_689,-1
N_509_708,-1
N_509_714,-1
N_509_720,-1
N_509_721,-1
N_509_722,-1
N_509_731,-1
N_509_733,-1
N_509_738,-1
N_509_740,-1
N_509_745,-1
N_509_765,-1
N_509_766,-1
N_509_786,-1
N_509_789,-1
N_509_790,-1
N_509_793,-1
N_509_794,-1
N_509_810,-1
N_509_818,-1
N_509_821,-1
N_509_822,-1
N_509_825,-1
N_509_829,0
N_509_835,-1
N_509_839,-1
N_509_840,-1
N_509_843,-1
N_509_849,-1
N_509_853,-1
N_511_512,-1
N_511_524,-1
N_511_527,-1
N_511_535,-1
N_511_536,-1
N_511_539,-1
N_511_547,-1
N_511_551,-1
N_511_552,1
N_511_559,-1
N_511_561,-1
N_511_565,-1
N_511_569,-1
N_511_577,-1
N_511_586,-1
N_511_595,-1
N_511_607,-1
N_511_623,-1
N_511_636,-1
N_511_651,0
N_511_655,-1
N_511_660,-1
N_511_662,-1
N_511_666,-1
N_511_670,-1
N_511_671,-1
N_511_673,-1
N_511_675,-1
N_511_676,-1
N_511_682,-1
N_511_683,-1
N_511_689,-1
N_511_708,-1
N_511_714,-1
N_511_720,-1
N_511_721,-1
N_511_722,-1
N_511_731,-1
N_511_733,-1
N_511_738,-1
N_511_740,-1
N_511_745,-1
N_511_765,-1
N_511_766,-1
N_511_786,-1
N_511_789,-1
N_511_790,-1
N_511_793,-1
N_511_794,-1
N_511_810,-1
N_511_818,-1
N_511_821,1
N_511_822,-1
N_511_825,-1
N_511_829,-1
N_511_835,-1
N_511_839,-1
N_511_840,-1
N_511_843,-1
N_511_849,-1
N_511_853,-1
N_512_524,-1
N_512_527,-1
N_512_535,-1
N_512_536,-1
N_512_539,-1
N_512_547,-1
N_512_551,-1
N_512_552,-1
N_512_559,-1
N_512_561,-1
N_512_565,-1
N_512_569,-1
N_512_577,-1
N_512_586,-1
N_512_595,-1
N_512_607,-1
N_512_623,-1
N_512_636,-1
N_512_651,-1
N_512_655,-1
N_512_660,-1
N_512_662,-1
N_512_666,-1
N_512_670,-1
N_512_671,-1
N_512_673,-1
N_512_675,-1
N_512_676,-1
N_512_682,-1
N_512_683,-1
N_512_689,-1
N_512_708,-1
N_512_714,-1
N_512_720,-1
N_512_721,-1
N_512_722,-1
N_512_731,-1
N_512_733,-1
N_512_738,-1
N_512_740,-1
N_512_745,-1
N_512_765,-1
N_512_766,-1
N_512_786,0
N_512_789,1
N_512_790,-1
N_512_793,-1
N_512_794,-1
N_512_810,-1
N_512_818,-1
